순위,제목,평점,애매율,개봉일
1,가디언즈 오브 갤럭시: Volume 3,8.8,43.5%,23.05.03
2,분노의 질주: 라이드 오어 다이,8.3,13.8%,23.05.17
3,슈퍼 마리오 브라더스,8.2,9.4%,23.04.26
4,문재인입니다,7.7,8.1%,23.05.10
5,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,9.2,4.1%,23.05.04
6,드림,7.7,3.2%,23.04.26
7,메리 마이 데드 바디,5.5,2.5%,23.05.17
8,롱디,7.0,1.9%,23.05.10
9,스즈메의 문단속,7.3,1.7%,23.03.08
10,존 윅 4,7.5,1.6%,23.04.12
11,유랑지구2,3.7,0.6%,23.05.10
12,슬픔의 삼각형,8.6,0.6%,23.05.17
13,옥수역귀신,6.2,0.5%,23.04.19
14,스트리머,5.1,0.4%,23.05.10
15,거울 속 외딴 성,8.8,0.4%,23.04.12
16,엑소시스트: 더 바티칸,5.6,0.3%,23.05.10
17,"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>",0.0,0.3%,23.05.03
18,칠중주: 홍콩 이야기,7.5,0.3%,23.05.11
19,"조제, 호랑이 그리고 물고기들",8.4,0.2%,23.05.10
20,토리와 로키타,8.3,0.2%,23.05.10
