시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 서울특별시 강남구 개포동,655-1,개포현대200동,82.2,1~10,"58,000",8,1986,언주로
 서울특별시 강남구 개포동,655-1,개포현대200동,82.2,1~10,"60,000",4,1986,언주로
 서울특별시 강남구 개포동,655-1,개포현대200동,82.2,11~20,"60,500",8,1986,언주로
 서울특별시 강남구 개포동,655-1,개포현대200동,82.2,11~20,"60,900",8,1986,언주로
 서울특별시 강남구 개포동,649,경남1,96.98,11~20,"87,000",4,1984,언주로
 서울특별시 강남구 개포동,649,경남1,96.98,21~31,"85,700",9,1984,언주로
 서울특별시 강남구 개포동,649,경남1,96.98,21~31,"91,500",11,1984,언주로
 서울특별시 강남구 개포동,649,경남1,96.98,21~31,"87,000",4,1984,언주로
 서울특별시 강남구 개포동,649,경남1,123.28,1~10,"130,000",7,1984,언주로
 서울특별시 강남구 개포동,649,경남1,123.28,21~31,"137,000",6,1984,언주로
 서울특별시 강남구 개포동,649,경남2차,149.21,11~20,"128,000",13,1984,언주로
 서울특별시 강남구 개포동,649,경남2차,149.21,21~31,"125,000",5,1984,언주로
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),39.53,1~10,"24,800",5,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),39.53,11~20,"23,720",15,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),39.53,11~20,"23,720",15,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),39.53,21~31,"22,300",15,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),51.12,11~20,"33,700",8,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),60,11~20,"44,000",14,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),60,11~20,"44,000",7,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),60,11~20,"45,250",9,1992,개포로109길
 서울특별시 강남구 개포동,12,대청3단지(6개동 일반분양),60,11~20,"45,250",9,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),33.18,1~10,"15,900",1,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),33.18,11~20,"18,400",5,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,1~10,"24,700",12,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,1~10,"24,700",4,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,11~20,"25,200",8,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,11~20,"25,200",12,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,11~20,"25,700",12,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,21~31,"24,300",8,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),39.53,21~31,"25,500",9,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,1~10,"33,300",11,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,11~20,"33,000",6,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,11~20,"33,100",9,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,11~20,"34,200",7,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,11~20,"34,700",6,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,11~20,"32,700",8,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,21~31,"34,200",14,1992,개포로109길
 서울특별시 강남구 개포동,12,대치2단지일반분양(11개동),49.86,21~31,"34,000",6,1992,개포로109길
 서울특별시 강남구 개포동,656,시영,28.79,21~31,"34,000",4,1984,언주로
 서울특별시 강남구 개포동,656,시영,40.31,1~10,"48,000",4,1984,언주로
 서울특별시 강남구 개포동,656,시영,40.53,1~10,"48,000",5,1984,언주로
 서울특별시 강남구 개포동,656,시영,40.53,11~20,"45,000",2,1984,언주로
 서울특별시 강남구 개포동,656,시영,40.53,21~31,"49,000",1,1984,언주로
 서울특별시 강남구 개포동,656,시영,51.18,1~10,"65,000",3,1984,언주로
 서울특별시 강남구 개포동,656,시영,51.18,1~10,"68,700",4,1984,언주로
 서울특별시 강남구 개포동,656,시영,51.18,11~20,"68,000",1,1984,언주로
 서울특별시 강남구 개포동,166-4,에버그린,84.89,11~20,"36,000",2,2003,선릉로8길
 서울특별시 강남구 개포동,652,우성3,104.43,1~10,"73,000",9,1984,개포로
 서울특별시 강남구 개포동,652,우성3,104.43,11~20,"71,250",6,1984,개포로
 서울특별시 강남구 개포동,652,우성3,161,11~20,"150,000",6,1984,개포로
 서울특별시 강남구 개포동,652,우성3,161,21~31,"147,500",3,1984,개포로
 서울특별시 강남구 개포동,652,우성3,161,21~31,"160,000",14,1984,개포로
 서울특별시 강남구 개포동,658-1,우성6,67.28,11~20,"54,500",3,1987,언주로
 서울특별시 강남구 개포동,658-1,우성6,79.97,21~31,"67,000",3,1987,언주로
 서울특별시 강남구 개포동,658-1,우성6,79.97,21~31,"67,500",4,1987,언주로
 서울특별시 강남구 개포동,179,우성8,79.61,1~10,"73,500",9,1987,개포로
 서울특별시 강남구 개포동,179,우성8,79.61,1~10,"72,000",6,1987,개포로
 서울특별시 강남구 개포동,651-1,우성9,81.42,21~31,"66,000",11,1991,개포로
 서울특별시 강남구 개포동,651-1,우성9,84.9,1~10,"68,000",12,1991,개포로
 서울특별시 강남구 개포동,141,주공1,35.44,11~20,"40,950",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,35.64,1~10,"38,000",3,1982,개포로
 서울특별시 강남구 개포동,141,주공1,35.64,1~10,"38,700",3,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,35.64,11~20,"41,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,35.64,11~20,"41,500",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,35.87,11~20,"40,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,35.87,21~31,"40,500",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,41.98,1~10,"54,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,41.98,1~10,"55,000",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,41.98,11~20,"55,000",2,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,41.98,11~20,"56,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,41.98,21~31,"55,000",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,42.55,1~10,"53,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,42.55,1~10,"54,000",2,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,42.55,11~20,"56,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,42.55,11~20,"56,000",3,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,42.55,21~31,"56,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,45.26,1~10,"51,000",4,1982,개포로
 서울특별시 강남구 개포동,141,주공1,49.56,11~20,"70,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,49.56,11~20,"70,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,49.56,11~20,"69,500",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,49.56,11~20,"68,500",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.38,1~10,"66,000",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.38,1~10,"68,000",3,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.38,11~20,"70,500",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.38,21~31,"70,900",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,1~10,"65,700",3,1982,개포로
 서울특별시 강남구 개포동,141,주공1,50.64,1~10,"67,000",2,1982,개포로
 서울특별시 강남구 개포동,141,주공1,50.64,1~10,"70,000",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,1~10,"69,250",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,1~10,"70,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,11~20,"65,000",1,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,11~20,"71,800",4,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,50.64,21~31,"70,000",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,56.57,1~10,"94,500",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,58.08,1~10,"94,000",4,1982,개포로
 서울특별시 강남구 개포동,141,주공1,58.08,1~10,"94,000",5,1982,선릉로
 서울특별시 강남구 개포동,141,주공1,61.57,11~20,"119,000",2,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.27,21~31,"27,000",5,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,1~10,"25,300",5,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,1~10,"26,000",3,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,11~20,"26,400",1,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,11~20,"27,000",4,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,21~31,"27,000",4,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,25.43,21~31,"26,800",5,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,61.75,1~10,"77,000",3,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,61.75,1~10,"77,000",3,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,61.75,11~20,"78,000",1,1982,선릉로
 서울특별시 강남구 개포동,140,주공2,80.26,11~20,"124,000",5,1982,선릉로
 서울특별시 강남구 개포동,138,주공3,35.64,11~20,"39,900",1,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,35.64,21~31,"41,000",2,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,35.87,1~10,"40,000",4,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,35.87,11~20,"41,000",1,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,35.87,11~20,"42,000",3,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,41.99,1~10,"62,000",1,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,41.99,1~10,"62,000",1,1982,삼성로
 서울특별시 강남구 개포동,138,주공3,42.55,11~20,"62,500",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,35.64,1~10,"39,200",4,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,35.64,21~31,"40,000",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,35.87,1~10,"38,000",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,35.87,11~20,"39,600",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,41.99,1~10,"55,000",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,41.99,1~10,"56,000",5,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,41.99,11~20,"55,000",1,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,41.99,21~31,"55,900",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,1~10,"56,000",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,11~20,"54,500",1,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,11~20,"55,000",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,11~20,"55,000",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,21~31,"54,700",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,21~31,"55,300",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,21~31,"56,000",1,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,42.55,21~31,"54,000",2,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,50.39,1~10,"75,000",5,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,50.39,11~20,"75,000",5,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,50.39,21~31,"79,500",3,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,50.67,11~20,"74,500",1,1982,삼성로
 서울특별시 강남구 개포동,189,주공4,50.67,21~31,"77,500",5,1982,삼성로
 서울특별시 강남구 개포동,187,주공5,53.98,1~10,"52,000",8,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,53.98,11~20,"51,000",9,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,53.98,11~20,"51,000",9,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,53.98,11~20,"51,800",13,1983,삼성로4길
 서울특별시 강남구 개포동,187,주공5,61.19,1~10,"59,000",5,1983,삼성로4길
