순위,선수명,팀명,타율,경기,타석,타수,안타,2루타,3루타,홈럼,타점,도루,도루실패,볼넷,사구,삼진,병살타,실책
1,최형우,KIA,0.354,140,600,522,185,37,1,28,115,0,0,70,5,101,9,0
2,손아섭,롯데,0.352,141,611,540,190,43,0,11,85,5,0,61,2,56,9,1
3,로하스,KT,0.349,142,628,550,192,39,1,47,135,0,1,65,5,132,11,4
4,박민우,NC,0.345,126,530,467,161,27,5,8,63,13,6,36,15,48,12,10
5,페르난데스,두산,0.34,144,668,586,199,29,0,21,105,0,1,58,13,42,26,1
6,이정후,키움,0.333,140,617,544,181,49,5,15,101,12,2,59,4,47,16,3
7,허경민,두산,0.332,117,487,437,145,25,1,7,58,14,6,35,5,28,10,9
8,김현수,LG,0.331,142,619,547,181,35,2,22,119,0,2,63,2,53,9,1
9,강백호,KT,0.33,129,574,500,165,36,1,23,89,7,2,66,5,93,7,10
10,양의지,NC,0.328,130,528,461,151,26,1,33,124,5,2,46,14,47,11,2
11,나성범,NC,0.324,130,584,525,170,37,2,34,112,3,1,49,9,148,6,0
12,황재균,KT,0.312,134,600,541,169,35,5,21,97,11,6,47,5,98,12,13
13,김동엽,삼성,0.312,115,451,413,129,21,0,20,74,4,4,29,4,79,14,2
14,오재일,두산,0.312,127,534,471,147,32,0,16,89,2,1,61,0,92,12,3
15,구자욱,삼성,0.307,118,510,446,137,27,2,15,78,19,5,51,8,91,4,2
16,최주환,두산,0.306,140,574,509,156,29,4,16,88,2,2,47,7,66,7,10
17,터커,KIA,0.306,142,631,542,166,40,0,32,113,0,2,76,9,67,12,1
18,박석민,NC,0.306,123,448,356,109,15,0,14,63,0,1,75,10,62,11,14
19,이명기,NC,0.306,136,540,477,146,18,3,2,45,12,7,50,4,78,6,1
20,김하성,키움,0.306,138,622,533,163,24,1,30,109,23,2,75,8,68,12,20
21,김상수,삼성,0.304,120,471,404,123,18,3,5,47,10,3,55,8,55,16,7
22,박건우,두산,0.304,129,551,487,148,40,0,14,70,8,2,42,12,65,9,2
23,오지환,LG,0.3,141,591,527,158,41,7,10,71,20,8,45,9,116,4,15
24,정수빈,두산,0.298,141,559,490,146,17,8,5,59,15,6,55,2,56,10,1
25,조용호,KT,0.296,132,482,409,121,15,0,0,32,12,3,64,2,83,6,1
26,정훈,롯데,0.295,111,476,410,121,19,1,11,58,11,1,56,4,85,8,2
27,채은성,LG,0.293,109,464,416,122,17,2,15,88,0,3,32,9,69,12,2
28,이대호,롯데,0.292,144,611,542,158,27,0,20,110,1,0,53,5,68,21,2
29,나지완,KIA,0.291,137,556,468,136,19,1,17,92,0,0,64,18,114,6,1
30,박해민,삼성,0.29,132,541,489,142,18,5,11,55,34,12,39,3,77,7,0
31,배정대,KT,0.289,144,615,533,154,25,3,13,65,22,13,68,5,142,9,5
32,김재호,두산,0.289,120,458,402,116,15,1,2,39,6,2,45,4,45,17,13
33,안치홍,롯데,0.286,124,460,412,118,28,0,8,54,14,3,35,7,47,11,14
34,이용규,한화,0.286,120,487,419,120,14,2,1,32,17,8,59,6,36,9,3
35,김혜성,키움,0.285,142,553,499,142,24,6,7,61,25,8,46,2,94,6,9
36,로맥,SK,0.282,139,586,485,137,32,0,32,91,4,2,91,6,116,5,12
37,마차도,롯데,0.28,144,560,486,136,31,1,12,67,15,1,54,8,60,20,10
38,홍창기,LG,0.279,135,507,408,114,29,6,5,39,11,5,83,10,87,8,2
39,전준우,롯데,0.279,143,628,562,157,34,1,26,96,5,5,52,8,79,21,5
40,라모스,LG,0.278,117,494,431,120,17,2,38,86,2,0,55,4,136,7,6
41,알테어,NC,0.278,136,546,482,134,20,7,31,108,22,3,46,12,149,10,2
42,한동희,롯데,0.278,135,531,461,128,22,0,17,67,0,3,57,5,97,15,17
43,장성우,KT,0.278,130,455,400,111,15,0,13,79,0,0,38,1,64,15,3
44,서건창,키움,0.277,135,595,484,134,28,5,5,52,24,10,91,5,58,8,3
45,노진혁,NC,0.274,132,484,427,117,22,3,20,82,0,4,49,5,106,8,9
46,최정,SK,0.27,133,553,452,122,22,0,33,96,8,3,75,20,98,7,11
47,이원석,삼성,0.268,121,467,403,108,17,0,13,74,0,1,49,2,82,7,10
48,김재환,두산,0.266,140,614,516,137,26,1,30,113,6,0,91,1,154,14,2
49,유강남,LG,0.261,137,478,429,112,18,0,16,74,1,1,32,13,84,18,2
50,최지훈,SK,0.258,127,520,466,120,19,5,1,27,18,6,38,5,80,4,4
51,유민상,KIA,0.246,126,456,391,96,23,0,8,65,0,0,53,6,80,14,9
52,심우준,KT,0.235,144,535,476,112,16,3,3,51,35,11,37,2,98,7,21
53,박찬호,KIA,0.223,141,531,480,107,16,0,3,36,15,8,36,0,87,14,15
