국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,계
아시아주,"841,547","906,097","870,943","926,157","759,265","829,148","1,110,694","1,049,030","977,320","1,025,081","992,606","1,142,577","1,027,937","1,227,093","1,112,960","1,110,023","901,838","1,017,208","1,275,790","1,316,534","1,205,936","1,197,130","1,171,203","1,303,227","1,168,865","1,340,928","1,204,970","1,234,224","1,064,009","537,600","50,321","16,982","13,148","16,690","35,995","39,246","39,189","34,984","33,950","35,923","31,329","36,489","45,861","40,822","39,701","40,557","40,992","48,395","45,837","42,839","46,225","50,822","42,967","55,736","56,000","56,662","78,097","110,141","135,377","171,567","183,027","292,665","297,761","379,613","300,353","349,269","575,973","35,759,445"
일  본,"219,968","179,661","213,460","193,705","167,083","168,241","294,476","213,853","227,230","235,293","230,512","315,025","247,847","290,468","299,978","258,521","206,526","213,200","375,119","290,092","286,273","282,476","274,830","329,652","251,119","248,541","258,522","255,356","203,969","211,199","8,347",360,413,498,755,"1,275",794,927,"1,254",951,"1,299","1,719",949,872,"1,403",875,881,"2,258","1,142","1,237","1,623","1,007","1,162","2,934","1,397","2,231","3,701","5,855","11,789","26,482","27,560","67,159","62,422","84,175","66,900","94,393","192,318","8,123,512"
중  국,"318,682","345,384","299,247","332,474","305,127","345,341","403,413","366,604","370,222","379,891","410,337","478,140","434,595","475,307","404,256","416,279","392,814","453,379","487,623","493,250","500,413","475,007","519,132","578,112","541,350","567,695","505,369","508,877","481,681","104,086","16,595","3,935","5,124","5,051","9,738","16,275","15,307","11,477","9,174","7,987","7,346","11,982","18,980","16,830","14,221","12,942","13,469","17,103","19,144","14,035","12,472","11,691","9,489","16,752","14,726","10,230","11,253","12,741","17,907","30,248","29,531","22,940","24,174","27,367","24,946","45,884","73,390","13,336,543"
대  만,"74,379","81,625","76,534","75,738","75,820","88,076","94,084","105,177","88,304","102,863","97,696","100,517","87,351","99,972","88,165","87,308","87,954","94,559","98,510","113,072","101,779","118,437","113,587","109,273","102,758","127,944","102,241","90,379","110,354","53,042",585,155,189,240,305,655,329,299,299,264,253,444,326,278,349,275,304,601,294,341,375,290,309,857,410,505,786,"1,008","1,756","4,401","4,555","11,358","17,914","29,066","49,477","47,970","63,504","3,088,824"
필리핀,"33,772","43,589","37,101","37,019","30,454","27,013","41,177","49,053","42,722","37,554","29,237","30,459","33,427","52,016","44,406","42,650","30,473","29,294","38,701","66,525","50,569","40,748","29,074","41,817","36,252","55,394","41,739","43,281","30,702","20,332","4,539","1,130","1,539","2,982","10,166","7,362","8,485","9,041","9,700","9,718","8,087","8,006","9,268","8,398","8,948","9,572","10,247","10,951","9,745","10,683","11,187","11,141","9,363","9,038","11,397","12,138","14,119","15,139","18,146","17,304","18,191","26,966","23,963","24,081","15,759","14,368","24,735","1,602,152"
홍  콩,"45,023","54,962","53,286","58,761","34,671","50,590","62,340","66,533","57,320","66,136","58,373","63,397","49,649","61,473","53,790","59,546","35,896","51,312","46,068","76,104","57,026","61,728","59,036","65,958","45,911","65,544","58,600","71,751","66,962","20,966",262,35,24,62,78,167,115,59,89,59,61,129,89,38,95,79,94,197,127,117,119,113,76,272,150,140,307,662,"1,237","2,043","3,225","11,216","14,721","27,146","26,777","16,237","27,155","1,812,284"
태  국,"30,651","50,079","50,860","60,147","44,941","43,428","55,735","64,720","51,866","41,020","33,440","28,516","34,298","59,941","46,981","54,026","41,334","39,220","53,100","69,726","52,660","37,684","37,278","32,830","36,052","65,878","49,998","55,850","38,466","31,777","2,371",299,195,313,609,781,523,460,391,383,628,405,474,505,628,928,705,600,845,897,900,804,"1,108","1,492","1,452","3,664","8,772","16,822","16,808","11,056","13,315","34,428","29,316","41,026","25,823","28,142","43,084","1,683,454"
말레이시아,"20,769","32,356","33,043","45,333","22,113","22,529","37,845","41,735","25,422","27,627","15,694","19,218","28,613","40,758","45,710","55,665","22,065","27,484","40,789","43,726","31,217","25,538","16,831","20,520","28,020","45,354","49,282","57,764","27,549","18,541",890,152,90,121,136,276,186,180,168,261,237,394,333,252,253,323,352,566,348,396,583,451,557,987,624,"1,280","2,432","3,415","3,799","4,826","6,354","12,349","13,113","20,713","11,058","16,486","23,569","1,097,620"
싱가포르,"15,078","19,054","21,866","36,144","9,664","9,093","22,182","21,130","19,768","23,117","11,521","11,843","15,346","21,787","25,981","40,465","9,855","9,792","22,105","23,307","20,114","24,743","10,992","13,008","17,745","24,719","27,546","42,216","10,738","5,909",219,48,49,50,44,124,97,134,216,381,86,92,83,101,77,95,137,205,198,361,"2,414","3,676","1,345","1,489","2,450","3,805","6,776","10,462","7,832","7,567","14,862","24,761","33,212","50,711","13,316","12,173","34,337","820,813"
인도네시아,"16,637","19,981","19,073","22,012","17,034","14,739","20,202","27,913","19,057","22,833","18,061","15,796","18,236","24,931","24,176","26,089","18,842","18,115","25,626","31,427","18,936","27,880","18,260","18,210","19,309","28,494","23,760","29,716","19,443","15,800","3,760","1,864","1,752","2,085","4,089","2,830","3,396","3,230","3,723","4,790","3,193","3,543","3,593","3,680","4,089","4,529","4,511","4,175","3,029","3,226","3,929","5,066","4,550","4,425","4,234","4,331","5,643","8,265","8,998","10,035","9,344","14,750","14,299","17,876","12,838","14,156","18,520","870,934"
